Date,"Unemployment rate (%), All aged 16 & over (seasonally adjusted)"
Jan-Mar 1971,3.8
Feb-Apr 1971,3.9
Mar-May 1971,4
Apr-Jun 1971,4.1
May-Jul 1971,4.1
Jun-Aug 1971,4.2
Jul-Sep 1971,4.2
Aug-Oct 1971,4.3
Sep-Nov 1971,4.4
Oct-Dec 1971,4.4
Nov-Jan 1972,4.5
Dec-Feb 1972,4.5
Jan-Mar 1972,4.5
Feb-Apr 1972,4.5
Mar-May 1972,4.5
Apr-Jun 1972,4.4
May-Jul 1972,4.4
Jun-Aug 1972,4.3
Jul-Sep 1972,4.3
Aug-Oct 1972,4.2
Sep-Nov 1972,4.2
Oct-Dec 1972,4.2
Nov-Jan 1973,4.1
Dec-Feb 1973,4
Jan-Mar 1973,3.9
Feb-Apr 1973,3.8
Mar-May 1973,3.8
Apr-Jun 1973,3.7
May-Jul 1973,3.7
Jun-Aug 1973,3.6
Jul-Sep 1973,3.6
Aug-Oct 1973,3.5
Sep-Nov 1973,3.5
Oct-Dec 1973,3.4
Nov-Jan 1974,3.4
Dec-Feb 1974,3.5
Jan-Mar 1974,3.6
Feb-Apr 1974,3.6
Mar-May 1974,3.6
Apr-Jun 1974,3.6
May-Jul 1974,3.6
Jun-Aug 1974,3.7
Jul-Sep 1974,3.7
Aug-Oct 1974,3.7
Sep-Nov 1974,3.7
Oct-Dec 1974,3.7
Nov-Jan 1975,3.8
Dec-Feb 1975,3.9
Jan-Mar 1975,4
Feb-Apr 1975,4.1
Mar-May 1975,4.2
Apr-Jun 1975,4.3
May-Jul 1975,4.5
Jun-Aug 1975,4.6
Jul-Sep 1975,4.7
Aug-Oct 1975,4.8
Sep-Nov 1975,4.9
Oct-Dec 1975,5
Nov-Jan 1976,5.1
Dec-Feb 1976,5.2
Jan-Mar 1976,5.3
Feb-Apr 1976,5.3
Mar-May 1976,5.4
Apr-Jun 1976,5.4
May-Jul 1976,5.4
Jun-Aug 1976,5.4
Jul-Sep 1976,5.5
Aug-Oct 1976,5.5
Sep-Nov 1976,5.5
Oct-Dec 1976,5.5
Nov-Jan 1977,5.5
Dec-Feb 1977,5.5
Jan-Mar 1977,5.5
Feb-Apr 1977,5.5
Mar-May 1977,5.5
Apr-Jun 1977,5.5
May-Jul 1977,5.6
Jun-Aug 1977,5.6
Jul-Sep 1977,5.7
Aug-Oct 1977,5.7
Sep-Nov 1977,5.7
Oct-Dec 1977,5.7
Nov-Jan 1978,5.7
Dec-Feb 1978,5.6
Jan-Mar 1978,5.6
Feb-Apr 1978,5.6
Mar-May 1978,5.6
Apr-Jun 1978,5.6
May-Jul 1978,5.5
Jun-Aug 1978,5.5
Jul-Sep 1978,5.5
Aug-Oct 1978,5.5
Sep-Nov 1978,5.4
Oct-Dec 1978,5.4
Nov-Jan 1979,5.3
Dec-Feb 1979,5.3
Jan-Mar 1979,5.4
Feb-Apr 1979,5.3
Mar-May 1979,5.3
Apr-Jun 1979,5.3
May-Jul 1979,5.3
Jun-Aug 1979,5.3
Jul-Sep 1979,5.4
Aug-Oct 1979,5.4
Sep-Nov 1979,5.4
Oct-Dec 1979,5.5
Nov-Jan 1980,5.6
Dec-Feb 1980,5.7
Jan-Mar 1980,5.8
Feb-Apr 1980,6
Mar-May 1980,6.1
Apr-Jun 1980,6.3
May-Jul 1980,6.5
Jun-Aug 1980,6.8
Jul-Sep 1980,7.1
Aug-Oct 1980,7.4
Sep-Nov 1980,7.7
Oct-Dec 1980,8
Nov-Jan 1981,8.3
Dec-Feb 1981,8.6
Jan-Mar 1981,8.9
Feb-Apr 1981,9.1
Mar-May 1981,9.4
Apr-Jun 1981,9.6
May-Jul 1981,9.7
Jun-Aug 1981,9.8
Jul-Sep 1981,9.9
Aug-Oct 1981,10
Sep-Nov 1981,10.1
Oct-Dec 1981,10.2
Nov-Jan 1982,10.3
Dec-Feb 1982,10.4
Jan-Mar 1982,10.4
Feb-Apr 1982,10.5
Mar-May 1982,10.5
Apr-Jun 1982,10.6
May-Jul 1982,10.6
Jun-Aug 1982,10.7
Jul-Sep 1982,10.8
Aug-Oct 1982,10.9
Sep-Nov 1982,11
Oct-Dec 1982,11.1
Nov-Jan 1983,11.2
Dec-Feb 1983,11.2
Jan-Mar 1983,11.3
Feb-Apr 1983,11.3
Mar-May 1983,11.3
Apr-Jun 1983,11.4
May-Jul 1983,11.5
Jun-Aug 1983,11.5
Jul-Sep 1983,11.5
Aug-Oct 1983,11.6
Sep-Nov 1983,11.6
Oct-Dec 1983,11.7
Nov-Jan 1984,11.7
Dec-Feb 1984,11.8
Jan-Mar 1984,11.8
Feb-Apr 1984,11.9
Mar-May 1984,11.9
Apr-Jun 1984,11.9
May-Jul 1984,11.8
Jun-Aug 1984,11.8
Jul-Sep 1984,11.7
Aug-Oct 1984,11.7
Sep-Nov 1984,11.7
Oct-Dec 1984,11.6
Nov-Jan 1985,11.6
Dec-Feb 1985,11.5
Jan-Mar 1985,11.5
Feb-Apr 1985,11.4
Mar-May 1985,11.4
Apr-Jun 1985,11.4
May-Jul 1985,11.3
Jun-Aug 1985,11.3
Jul-Sep 1985,11.3
Aug-Oct 1985,11.3
Sep-Nov 1985,11.3
Oct-Dec 1985,11.3
Nov-Jan 1986,11.3
Dec-Feb 1986,11.3
Jan-Mar 1986,11.3
Feb-Apr 1986,11.3
Mar-May 1986,11.3
Apr-Jun 1986,11.3
May-Jul 1986,11.4
Jun-Aug 1986,11.4
Jul-Sep 1986,11.4
Aug-Oct 1986,11.3
Sep-Nov 1986,11.3
Oct-Dec 1986,11.3
Nov-Jan 1987,11.2
Dec-Feb 1987,11.2
Jan-Mar 1987,11.1
Feb-Apr 1987,11
Mar-May 1987,10.9
Apr-Jun 1987,10.7
May-Jul 1987,10.6
Jun-Aug 1987,10.4
Jul-Sep 1987,10.2
Aug-Oct 1987,10
Sep-Nov 1987,9.9
Oct-Dec 1987,9.7
Nov-Jan 1988,9.5
Dec-Feb 1988,9.4
Jan-Mar 1988,9.2
Feb-Apr 1988,9
Mar-May 1988,8.9
Apr-Jun 1988,8.7
May-Jul 1988,8.6
Jun-Aug 1988,8.5
Jul-Sep 1988,8.4
Aug-Oct 1988,8.3
Sep-Nov 1988,8.2
Oct-Dec 1988,8
Nov-Jan 1989,7.9
Dec-Feb 1989,7.7
Jan-Mar 1989,7.6
Feb-Apr 1989,7.4
Mar-May 1989,7.3
Apr-Jun 1989,7.2
May-Jul 1989,7.2
Jun-Aug 1989,7.1
Jul-Sep 1989,7.1
Aug-Oct 1989,7.1
Sep-Nov 1989,7
Oct-Dec 1989,7
Nov-Jan 1990,7
Dec-Feb 1990,6.9
Jan-Mar 1990,6.9
Feb-Apr 1990,6.9
Mar-May 1990,6.9
Apr-Jun 1990,6.9
May-Jul 1990,6.9
Jun-Aug 1990,7
Jul-Sep 1990,7.1
Aug-Oct 1990,7.2
Sep-Nov 1990,7.3
Oct-Dec 1990,7.5
Nov-Jan 1991,7.6
Dec-Feb 1991,7.8
Jan-Mar 1991,8
Feb-Apr 1991,8.2
Mar-May 1991,8.5
Apr-Jun 1991,8.7
May-Jul 1991,8.8
Jun-Aug 1991,9
Jul-Sep 1991,9.2
Aug-Oct 1991,9.3
Sep-Nov 1991,9.4
Oct-Dec 1991,9.5
Nov-Jan 1992,9.5
Dec-Feb 1992,9.6
Jan-Mar 1992,9.7
Feb-Apr 1992,9.8
Mar-May 1992,9.8
Apr-Jun 1992,9.8
May-Jul 1992,9.9
Jun-Aug 1992,9.9
Jul-Sep 1992,9.9
Aug-Oct 1992,10.1
Sep-Nov 1992,10.2
Oct-Dec 1992,10.4
Nov-Jan 1993,10.5
Dec-Feb 1993,10.7
Jan-Mar 1993,10.6
Feb-Apr 1993,10.6
Mar-May 1993,10.5
Apr-Jun 1993,10.4
May-Jul 1993,10.4
Jun-Aug 1993,10.3
Jul-Sep 1993,10.2
Aug-Oct 1993,10.3
Sep-Nov 1993,10.2
Oct-Dec 1993,10.3
Nov-Jan 1994,10.3
Dec-Feb 1994,10.1
Jan-Mar 1994,9.9
Feb-Apr 1994,9.8
Mar-May 1994,9.7
Apr-Jun 1994,9.7
May-Jul 1994,9.6
Jun-Aug 1994,9.5
Jul-Sep 1994,9.4
Aug-Oct 1994,9.3
Sep-Nov 1994,9.1
Oct-Dec 1994,9
Nov-Jan 1995,8.9
Dec-Feb 1995,8.9
Jan-Mar 1995,8.9
Feb-Apr 1995,8.8
Mar-May 1995,8.8
Apr-Jun 1995,8.7
May-Jul 1995,8.7
Jun-Aug 1995,8.6
Jul-Sep 1995,8.6
Aug-Oct 1995,8.6
Sep-Nov 1995,8.6
Oct-Dec 1995,8.3
Nov-Jan 1996,8.4
Dec-Feb 1996,8.3
Jan-Mar 1996,8.2
Feb-Apr 1996,8.3
Mar-May 1996,8.3
Apr-Jun 1996,8.3
May-Jul 1996,8.2
Jun-Aug 1996,8.1
Jul-Sep 1996,8.1
Aug-Oct 1996,8.1
Sep-Nov 1996,8
Oct-Dec 1996,7.8
Nov-Jan 1997,7.7
Dec-Feb 1997,7.5
Jan-Mar 1997,7.3
Feb-Apr 1997,7.2
Mar-May 1997,7.2
Apr-Jun 1997,7.2
May-Jul 1997,7.3
Jun-Aug 1997,7.1
Jul-Sep 1997,6.8
Aug-Oct 1997,6.7
Sep-Nov 1997,6.6
Oct-Dec 1997,6.5
Nov-Jan 1998,6.4
Dec-Feb 1998,6.4
Jan-Mar 1998,6.4
Feb-Apr 1998,6.3
Mar-May 1998,6.3
Apr-Jun 1998,6.3
May-Jul 1998,6.3
Jun-Aug 1998,6.3
Jul-Sep 1998,6.2
Aug-Oct 1998,6.2
Sep-Nov 1998,6.2
Oct-Dec 1998,6.1
Nov-Jan 1999,6.2
Dec-Feb 1999,6.2
Jan-Mar 1999,6.2
Feb-Apr 1999,6.2
Mar-May 1999,6.1
Apr-Jun 1999,6
May-Jul 1999,6
Jun-Aug 1999,5.9
